x,y,Altitude
-53.82971684,-25.10924935,674.416
-53.83085223,-25.10867721,676.406
-53.8315607,-25.1085914,673.852
-53.83132282,-25.10813927,673.295
-53.8319806,-25.10814558,670.334
-53.83255101,-25.10757061,669.85
-53.8338434,-25.10766315,669.892
-53.83319483,-25.10787583,669.64
-53.83242421,-25.10864935,669.537
-53.83197895,-25.10904907,669.405
-53.83065723,-25.10938406,669.723
-53.83003589,-25.10961562,665.754
-53.82947208,-25.10992088,665.565
-53.82974559,-25.11031768,665.663
-53.83100239,-25.10978531,665.587
-53.83165783,-25.10959426,665.766
-53.83272282,-25.10900902,666.052
-53.83311192,-25.10849213,662.112
-53.83441264,-25.10809724,662.284
-53.834508,-25.10871522,661.995
-53.83400456,-25.10875153,662.025
-53.83296314,-25.10924744,662.377
-53.83246273,-25.10964004,661.809
-53.83122746,-25.11005234,661.871
-53.83059627,-25.11025855,658.261
-53.83000118,-25.11058661,657.799
-53.83025333,-25.11080962,658.439
-53.83084911,-25.11051933,658.428
-53.83208195,-25.11016297,657.862
-53.83313481,-25.10948395,658.914
-53.83360392,-25.10909288,657.282
-53.83463007,-25.10924165,654.331
-53.83483607,-25.10979478,654.043
-53.83492771,-25.11036324,653.482
-53.8341457,-25.10999131,654.166
-53.83374275,-25.10954279,653.825
-53.83289379,-25.11012069,653.851
-53.83237076,-25.11042786,651.335
-53.83162037,-25.11063408,653.546
-53.83059245,-25.11096618,655.854
