x,y
214056.312642334,7219809.389906
214090.040082107,7220027.91109852
214102.031281895,7220075.7418133
214111.782539979,7220127.09384438
214126.638501159,7220141.67960025
214219.550728846,7220152.55240887
214363.921736379,7220162.72073043
214379.152346851,7220159.47205896
214411.437009471,7220143.4972199
214734.225846708,7219889.04209
214692.115552872,7219863.62638926
214607.61891393,7219754.65208187
214573.150759781,7219769.72240044
214554.458884175,7219753.99357045
214550.849185168,7219754.95553685
214547.248421842,7219756.02079534
214543.471122629,7219757.2730384
214539.729155134,7219758.62136674
214535.92129165,7219759.93505156
214531.967180621,7219761.29112167
214528.081205286,7219762.62312128
214524.296796435,7219764.02155355
214520.290351381,7219765.2257444
214516.221618675,7219766.36765066
214512.244559226,7219767.37400556
214508.147728835,7219768.2193073
214504.040577064,7219768.83489835
214499.945421624,7219769.35982971
214496.003718672,7219769.97999921
214491.94231846,7219770.57991698
214488.237474952,7219771.12079696
214484.574310567,7219771.69581055
214481.122296711,7219772.35840435
214477.4469573,7219773.08061259
214473.636733821,7219773.88092125
214469.67525541,7219774.67361964
214465.810121484,7219775.58918323
214461.841000734,7219776.55356165
214457.879201222,7219777.65002343
214453.937304639,7219778.90433188
214450.08450891,7219780.19376935
214446.599973705,7219781.39559067
214443.190166626,7219782.69210736
214439.741994181,7219783.98892661
214436.225242106,7219785.33086934
214432.720326651,7219786.73403613
214429.065726012,7219788.24714357
214425.441699265,7219789.8906054
214421.674942573,7219791.31266374
214417.845194651,7219792.80213589
214414.06966639,7219794.25726806
214410.25959045,7219795.67508816
214406.52501001,7219797.15103394
214402.642541261,7219798.55513709
214398.878486464,7219799.89631405
214394.976819391,7219801.1569947
214391.009029827,7219802.29765924
214387.016685908,7219803.64623578
214382.835362031,7219804.76467653
214378.659084648,7219806.02734817
214374.411128028,7219807.19427739
214370.176441697,7219808.30605084
214366.031918046,7219809.35430499
214361.873872764,7219810.37344881
214357.930990422,7219811.48136744
214354.052069008,7219812.57178069
214350.157787836,7219813.72062955
214346.20968264,7219815.02910334
214342.305142739,7219816.42607521
214338.434862923,7219817.97010895
214334.674219124,7219819.43662009
214330.742071787,7219821.04254656
214327.039673744,7219822.95596141
214323.239466074,7219824.9604492
214319.689542831,7219827.15977318
214316.318395394,7219829.3539812
214312.880173258,7219831.61773443
214309.721858545,7219833.86740893
214306.557994159,7219836.18902939
214303.403615126,7219838.6837999
214300.216134374,7219841.36080412
214297.108618483,7219844.02729173
214294.015586135,7219846.86925175
214290.944757004,7219849.61522378
214287.993296725,7219852.25283577
214285.163123549,7219854.88301646
214282.480713729,7219857.68703409
214279.706112322,7219860.50685377
214277.020059996,7219863.29194679
214274.180864502,7219866.01506394
214271.312142919,7219868.70208327
214268.350933924,7219871.32285718
214265.531020954,7219873.89670828
214262.719284504,7219876.12926224
214259.973650565,7219878.24235972
214257.175799681,7219880.72687102
214254.489076573,7219883.20706393
214251.622695967,7219885.49390149
214248.819423542,7219887.85190988
214245.956890742,7219890.14769658
214243.103535866,7219892.05453458
214240.386470059,7219893.72032865
214237.986823491,7219895.17216535
214235.637467164,7219896.10398597
214233.449064742,7219896.53363628
214231.353804434,7219896.46966991
214229.342372759,7219895.92297789
214227.294063173,7219894.87328617
214225.03221348,7219892.79248577
214223.066166077,7219890.03717868
214221.376401964,7219886.76771129
214219.812086097,7219883.24477732
214218.334420863,7219879.82566033
214216.921672328,7219876.19947787
214215.507566492,7219872.58989662
214214.219686578,7219869.02620456
214212.611095913,7219865.49679585
214210.981355238,7219861.77292631
214209.448503317,7219858.33823581
214207.800721129,7219855.04082239
214206.197607414,7219851.82749682
214204.605235039,7219848.29510131
214203.012079447,7219844.70392985
214201.369864747,7219841.1416614
214199.734808148,7219837.86336108
214198.067464775,7219834.58438219
214196.467694336,7219831.54851138
214194.821426486,7219828.70789705
214193.138882818,7219826.00842939
214191.517562654,7219823.46989532
214189.531051392,7219820.87269027
214187.278983732,7219818.51935535
214184.98263817,7219816.30367278
214182.373158291,7219814.24216742
214179.284146153,7219812.13510952
214175.717573384,7219809.9847575
214171.741034726,7219807.88898493
214167.772569585,7219806.22575989
214163.619173586,7219804.66840589
214159.481844639,7219803.21116792
214155.094000561,7219802.00254919
214150.788645611,7219801.14378296
214146.389354323,7219800.38393001
214142.089370932,7219799.6538789
214137.78991538,7219799.13891847
214133.284191728,7219798.83248604
214129.070266437,7219798.90691251
214124.805333325,7219798.71862087
214120.712998463,7219798.77120916
214116.460738793,7219798.89249879
214112.328990815,7219798.99525495
214107.949474282,7219799.07173844
214103.748702632,7219799.38479657
214099.510248787,7219799.7136915
214056.312642334,7219809.389906
